html_url,howfairis_repository,howfairis_license,howfairis_registry,howfairis_citation,howfairis_checklist,date
https://github.com/jbikker/softrast,True,True,False,False,False,2022-08-13
https://github.com/jhnienhuis/LatticeBoltzmannModel,True,True,False,False,False,2022-08-13
https://github.com/joaomcteixeira/taurenmd,True,True,True,True,False,2022-08-13
https://github.com/kraaijenbrink/earthengine-workshop,True,True,False,True,False,2022-08-13
https://github.com/kraaijenbrink/nature-2017,True,True,False,False,False,2022-08-13
https://github.com/MaartenBransen/scm_electron_microscopes,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/oceanparcels_website,True,False,False,False,False,2022-08-13
https://github.com/OceanParcels/UtrechtTeam,True,True,False,False,False,2022-08-13
https://github.com/RELabUU/Interactive-Narrator,True,False,False,False,False,2022-08-13
https://github.com/RELabUU/revv-light,True,False,False,False,False,2022-08-13
https://github.com/Rensvandeschoot/First-Bayesian-Inference,True,True,False,False,False,2022-08-13
https://github.com/SanliFaez/FAIR-Battery,True,True,False,False,False,2022-08-13
https://github.com/sodascience/osmenrich_docker,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/posteriordb-r,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/sgb,True,False,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/animal-sounds,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/best-practices,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/workshop-computational-reproducibility,True,True,False,False,False,2022-08-13
https://github.com/vankesteren/cmfilter,True,True,False,False,False,2022-08-13
https://github.com/wouter-swierstra/Data.Stream,True,True,False,False,False,2022-08-13
https://github.com/AJueling/MV-code,True,True,False,False,False,2022-08-13
https://github.com/AJueling/python_climate_physics,True,True,False,False,False,2022-08-13
https://github.com/aromanowski/Elgg,True,False,False,False,False,2022-08-13
https://github.com/asreview/template-extension-new-dataset,True,True,False,False,False,2022-08-13
https://github.com/billjee/simpsynz,True,True,False,False,False,2022-08-13
https://github.com/CLARIAH/iribaker,True,True,False,False,False,2022-08-13
https://github.com/CLARIAH/tool-discovery,True,False,False,False,False,2022-08-13
https://github.com/CLARIAH/usecases,True,False,False,False,False,2022-08-13
https://github.com/daob/JruleMplus,True,True,False,False,False,2022-08-13
https://github.com/davidcortesortuno/mayavi_surface_povray,True,False,False,False,False,2022-08-13
https://github.com/davidcortesortuno/paper-2016-Cortes-etal-Thermal-stability-and-topological-protection-of-skyrmions,True,False,False,False,False,2022-08-13
https://github.com/davidcortesortuno/skyrmion_mapping,True,False,False,False,False,2022-08-13
https://github.com/DorienHuijser/MRIsharingguide,True,True,False,True,False,2022-08-13
https://github.com/ekatrukha/ContourLines,True,True,False,False,False,2022-08-13
https://github.com/ekatrukha/Correlescence,True,True,False,True,False,2022-08-13
https://github.com/ekatrukha/rods-detection-in-noisy-images,True,True,False,False,False,2022-08-13
https://github.com/gbeckers/agldata,True,True,False,False,False,2022-08-13
https://github.com/gbeckers/Birdwatcher,True,True,False,False,False,2022-08-13
https://github.com/gerb-ster/CV-Utils,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Elka-Synthex-Curtis-VCF,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/MegaPercussionSynth,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/RayWilson-Dual-VCA,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/RingMod,True,False,False,False,False,2022-08-13
https://github.com/giovannivarr/RetiElaboratori16-17,True,True,False,False,False,2022-08-13
https://github.com/gjlbeckers-uu/aglcheck,True,True,False,False,False,2022-08-13
https://github.com/haddocking/HADDOCK-binding-sites-tutorial,True,True,False,False,False,2022-08-13
https://github.com/haddocking/MemCplxDB,True,True,False,True,False,2022-08-13
https://github.com/haddocking/whiscy,True,True,False,False,False,2022-08-13
https://github.com/hnunner/osgi-servlet,True,True,False,False,False,2022-08-13
https://github.com/hugoquene/KMS-NL,True,False,False,True,False,2022-08-13
https://github.com/hugoquene/QMS-EN,True,True,False,False,False,2022-08-13
https://github.com/J535D165/cbsshape,True,True,False,False,False,2022-08-13
https://github.com/japhir/stratPlot,True,False,False,False,False,2022-08-13
https://github.com/kovvalsky/DRS2Graph,True,False,False,False,False,2022-08-13
https://github.com/kylelang/uu-beamer-theme,True,True,False,False,False,2022-08-13
https://github.com/lcvriend/flatbread,True,True,False,False,False,2022-08-13
https://github.com/lcvriend/pandas_crosstabs,True,True,False,False,False,2022-08-13
https://github.com/lcvriend/toponym_extraction,True,True,False,False,False,2022-08-13
https://github.com/lukavdplas/printi-my-crosswords,True,False,False,False,False,2022-08-13
https://github.com/nlesc-smcm/i-emic,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/BayesianAnalysis_SouthAtlantic,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/GalapagosBasinPlastic,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/parcels_contributions,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/Sargassum_Drifters,True,True,False,False,False,2022-08-13
https://github.com/OceanParcels/Tides_GlobalOceanPlastic,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/atom-language-stan,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/logos,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/r-packages,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/visual-diagnostics,True,False,False,False,False,2022-08-13
https://github.com/stefanoschmidt1995/GWAnomalyDetection,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/nudging,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/research-engineering,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/summer-fair,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/SWORDS-UU,True,True,False,False,False,2022-08-13
