html_url_repository,vcs_usage,life_span,first_commit_user,first_commit_date,repo_active,date
https://github.com/anastasiaGiachanou/Programming-with-Python,False,0,False,anastasiaGiachanou,2021-09-01,2022-09-20
https://github.com/anastasiaGiachanou/Text-Analysis-of-National-Artificial-Intelligence-Policies,True,62,False,anastasiaGiachanou,2020-06-29,2022-09-20
https://github.com/annalenalamprecht/Coffee-Partner-Lottery,True,258,False,annalenalamprecht,2020-11-06,2022-09-20
https://github.com/annalenalamprecht/CoTaPP,True,241,False,annalenalamprecht,2020-11-06,2022-09-20
https://github.com/annalenalamprecht/instructional-code,False,0,False,annalenalamprecht,2021-04-08,2022-09-20
https://github.com/AnnavdKaaden/FrontiersPaper2020,False,0,False,AnnavdKaaden,2020-04-30,2022-09-20
https://github.com/AnnavdKaaden/ImageAnnotation,True,241,True,AnnavdKaaden,2021-02-05,2022-09-20
https://github.com/aromanowski/2021-03-19-carpentries-test,False,0,False,aromanowski,2021-03-19,2022-09-20
https://github.com/aromanowski/binder,False,0,False,aromanowski,2021-04-20,2022-09-20
https://github.com/aromanowski/Circadian_rhythms_and_alternative_splicing,True,8,False,aromanowski,2020-03-19,2022-09-20
https://github.com/aromanowski/Circadian_rhythms_and_alternative_splicing-atspf30-1-scripts-,False,0,False,aromanowski,2020-03-27,2022-09-20
https://github.com/aromanowski/Elgg,True,1,False,aromanowski,2011-12-14,2022-09-20
https://github.com/aromanowski/group-website,True,2,False,aromanowski,2021-03-09,2022-09-20
https://github.com/aromanowski/leaf3_dev,True,60,False,aromanowski,2020-12-28,2022-09-20
https://github.com/aromanowski/LeafDev-app,False,0,False,aromanowski,2021-01-03,2022-09-20
https://github.com/aromanowski/old_faithful,False,0,False,aromanowski,2020-11-11,2022-09-20
https://github.com/aromanowski/roar_workshop,False,0,False,aromanowski,2020-11-11,2022-09-20
https://github.com/asreview/.github,True,205,True,J535D165,2021-11-03,2022-09-20
https://github.com/asreview/asreview,True,1350,True,parisa-zahedi,2019-01-09,2022-09-20
https://github.com/asreview/asreview-artwork,True,934,True,J535D165,2019-11-13,2022-09-20
https://github.com/asreview/asreview-covid19,True,745,True,qubixes,2020-03-18,2022-09-20
https://github.com/asreview/asreview-datatools,True,848,True,qubixes,2020-02-11,2022-09-20
https://github.com/asreview/asreview-extension-vocab-extractor,True,287,True,JTeijema,2021-09-03,2022-09-20
https://github.com/asreview/asreview-hyperopt,True,466,False,qubixes,2020-01-24,2022-09-20
https://github.com/asreview/asreview-insights,True,896,True,qubixes,2020-01-23,2022-09-20
https://github.com/asreview/asreview-multilingual-feature-extractor,True,6,True,JTeijema,2021-11-04,2022-09-20
https://github.com/asreview/asreview-project-files-testing,True,613,True,terrymyc,2020-07-26,2022-09-20
https://github.com/asreview/asreview-ranking-stability,True,582,True,PeterLombaers,2020-11-11,2022-09-20
https://github.com/asreview/asreview-simulation-time,True,561,True,PeterLombaers,2020-12-02,2022-09-20
https://github.com/asreview/asreview-wordcloud,True,501,True,J535D165,2021-01-23,2022-09-20
https://github.com/asreview/automated-systematic-review-simulations,True,613,False,J535D165,2019-01-18,2022-09-20
https://github.com/asreview/citation-file-formatting,True,198,True,ottomattas,2021-05-31,2022-09-20
https://github.com/asreview/paper-asreview,True,667,True,Rensvandeschoot,2020-02-12,2022-09-20
https://github.com/asreview/paper-depression-brouwer-simulation-ATD,True,513,True,,2021-02-17,2022-09-20
https://github.com/asreview/paper-evaluating-models-across-research-areas,True,736,True,GerbrichFerdinands,2020-07-08,2022-09-20
https://github.com/asreview/paper-guidelines-KIFMS,True,1,False,J535D165,2021-06-24,2022-09-20
https://github.com/asreview/paper-megameta-hyperparameter-training,True,28,True,Rensvandeschoot,2021-11-03,2022-09-20
https://github.com/asreview/paper-megameta-postprocessing-screeningresults,True,331,True,LHofstee,2021-10-12,2022-09-20
https://github.com/asreview/paper-simulating-risk-analysis-documents-KNMP,True,94,True,SagevdBrand,2021-09-07,2022-09-20
https://github.com/asreview/paper-simulation-smid-2020-mbr,True,4,False,GerbrichFerdinands,2021-01-07,2022-09-20
https://github.com/asreview/semantic-clusters,True,486,True,Sasafrass,2020-07-24,2022-09-20
https://github.com/asreview/systematic-review-datasets,True,1159,True,J535D165,2019-01-18,2022-09-20
https://github.com/asreview/template-extension-new-dataset,True,333,True,JTeijema,2021-09-24,2022-09-20
https://github.com/asreview/template-extension-new-model,True,606,True,J535D165,2020-10-12,2022-09-20
https://github.com/basm92/applied_microeconometrics,True,45,True,basm92,2021-08-31,2022-09-20
https://github.com/basm92/basm92,True,672,True,basm92,2020-07-09,2022-09-20
https://github.com/basm92/Big-Data-Big-Questions,True,749,True,basm92,2020-04-22,2022-09-20
https://github.com/basm92/Clio,True,74,False,basm92,2020-04-23,2022-09-20
https://github.com/basm92/conclusion_phdthesis,True,34,True,basm92,2022-05-26,2022-09-20
https://github.com/basm92/datasciencecoursera,False,0,False,basm92,2019-11-25,2022-09-20
https://github.com/basm92/deep_learning,True,19,True,basm92,2022-07-11,2022-09-20
https://github.com/basm92/econometrics2,True,35,False,basm92,2021-01-03,2022-09-20
https://github.com/basm92/econometrics_i,True,27,True,basm92,2021-11-03,2022-09-20
https://github.com/basm92/econometrics_iii,True,37,False,basm92,2021-03-02,2022-09-20
https://github.com/basm92/Getting-and-Cleaning-Data,False,0,False,basm92,2019-12-22,2022-09-20
