html_url_repository,language,num_chars
https://github.com/UUDigitalHumanitieslab/persistent-forking,PHP,14322
https://github.com/UUDigitalHumanitieslab/persistent-forking,JavaScript,1419
https://github.com/UUDigitalHumanitieslab/persistent-forking,CSS,735
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,TypeScript,33073
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,Python,31098
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,Handlebars,3830
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,HTML,3245
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,Sass,1575
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,JavaScript,1514
https://github.com/UUDigitalHumanitieslab/cookiecutter-webapp-deluxe,SCSS,1236
https://github.com/UUDigitalHumanitieslab/AASP-processing,Python,6623
https://github.com/UUDigitalHumanitieslab/AnnCor-scripts,Python,91966
https://github.com/UUDigitalHumanitieslab/AnnCor-scripts,Makefile,255
https://github.com/UUDigitalHumanitieslab/AnnCor-scripts,Shell,45
https://github.com/UUDigitalHumanitieslab/gretel-vagrant-box,PHP,28015
https://github.com/UUDigitalHumanitieslab/gretel-vagrant-box,Puppet,23293
https://github.com/UUDigitalHumanitieslab/gretel-vagrant-box,Ruby,18100
https://github.com/UUDigitalHumanitieslab/gretel-vagrant-box,Shell,2122
https://github.com/UUDigitalHumanitieslab/gretel-vagrant-box,Python,550
https://github.com/UUDigitalHumanitieslab/LoCMiner,Python,16908
https://github.com/UUDigitalHumanitieslab/LoCMiner,HTML,13347
https://github.com/UUDigitalHumanitieslab/LoCMiner,CSS,5135
https://github.com/UUDigitalHumanitieslab/LoCMiner,JavaScript,926
https://github.com/UUDigitalHumanitieslab/R-lookup-and-merge,R,433
https://github.com/UUDigitalHumanitieslab/angular-karma-module-config-testcase,JavaScript,819
https://github.com/UUDigitalHumanitieslab/lassy-xpath,TypeScript,142152
https://github.com/UUDigitalHumanitieslab/lassy-xpath,JavaScript,2230
https://github.com/UUDigitalHumanitieslab/lassy-xpath,CSS,893
https://github.com/UUDigitalHumanitieslab/catharijneverhalen,CSS,146046
https://github.com/UUDigitalHumanitieslab/catharijneverhalen,JavaScript,79227
https://github.com/UUDigitalHumanitieslab/catharijneverhalen,Python,43904
https://github.com/UUDigitalHumanitieslab/catharijneverhalen,HTML,36901
https://github.com/UUDigitalHumanitieslab/microcontact,Python,87363
https://github.com/UUDigitalHumanitieslab/microcontact,CoffeeScript,82417
https://github.com/UUDigitalHumanitieslab/microcontact,Mustache,15989
https://github.com/UUDigitalHumanitieslab/microcontact,Sass,3060
https://github.com/UUDigitalHumanitieslab/microcontact,SCSS,1591
https://github.com/UUDigitalHumanitieslab/dhl-packages,Python,10542
https://github.com/UUDigitalHumanitieslab/utils,Python,4168
https://github.com/UUDigitalHumanitieslab/kbkrant-harvest,Python,15539
https://github.com/UUDigitalHumanitieslab/jquery-promise,JavaScript,2119
https://github.com/UUDigitalHumanitieslab/jquery-promise,HTML,443
https://github.com/UUDigitalHumanitieslab/compound-splitter,Python,29529
https://github.com/UUDigitalHumanitieslab/PhpModules,PHP,5720
https://github.com/UUDigitalHumanitieslab/AASP,R,34723
https://github.com/UUDigitalHumanitieslab/AASP,Python,28252
https://github.com/UUDigitalHumanitieslab/AASP,HTML,9906
https://github.com/UUDigitalHumanitieslab/AASP,Dockerfile,634
https://github.com/UUDigitalHumanitieslab/AASP,CSS,47
https://github.com/bozso/insar_meteo,MATLAB,107971
https://github.com/bozso/insar_meteo,Python,63452
https://github.com/bozso/insar_meteo,C,41985
https://github.com/bozso/insar_meteo,C++,29264
https://github.com/bozso/insar_meteo,D,4879
https://github.com/bozso/insar_meteo,Julia,688
https://github.com/bozso/insar_meteo,Shell,148
https://github.com/bozso/python_course,HTML,2793960
https://github.com/bozso/python_course,Jupyter Notebook,2005697
https://github.com/bozso/python_course,Python,1526
https://github.com/bozso/orb_prop,MATLAB,1129101
https://github.com/bozso/utils,Python,261916
https://github.com/bozso/utils,CSS,3471
https://github.com/bozso/utils,Go,2467
https://github.com/bozso/utils,Lua,728
https://github.com/bozso/utils,Nim,727
https://github.com/bozso/utils,Shell,99
https://github.com/bozso/texfiles,TeX,364311
https://github.com/bozso/texfiles,HTML,56042
https://github.com/bozso/texfiles,CSS,41279
https://github.com/bozso/texfiles,Python,12209
https://github.com/bozso/texfiles,Makefile,217
https://github.com/bozso/demeter_process,Jupyter Notebook,3107832
https://github.com/bozso/demeter_process,Python,9364
https://github.com/bozso/rustsar,C,42033
https://github.com/bozso/rustsar,Rust,15014
